,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,cash,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,price_change,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,signal,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-11-01 23:59:00+00:00,,0.0,,0.0009999999999998899,,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-01 23:59:00+00:00,2019-11,2019-11-01 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,1,[],0.001
2019-11-02 23:59:00+00:00,0.0,0.0,,0.0020009999999996975,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-02 23:59:00+00:00,2019-11,2019-11-02 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,2,[],0.001
2019-11-03 23:59:00+00:00,0.0,0.0,,0.0030030009999995055,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-03 23:59:00+00:00,2019-11,2019-11-03 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,3,[],0.001
2019-11-04 23:59:00+00:00,0.0,0.0,,0.004006004000999486,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-04 23:59:00+00:00,2019-11,2019-11-04 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,4,[],0.001
2019-11-05 23:59:00+00:00,0.0,0.0,,0.005010010005000343,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-05 23:59:00+00:00,2019-11,2019-11-05 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,5,[],0.001
2019-11-06 23:59:00+00:00,0.0,0.0,,0.006015020015005312,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-06 23:59:00+00:00,2019-11,2019-11-06 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,6,[],0.001
2019-11-07 23:59:00+00:00,0.0,0.0,,0.007021035035020162,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-07 23:59:00+00:00,2019-11,2019-11-07 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,7,[],0.001
2019-11-08 23:59:00+00:00,0.0,0.0,,0.008028056070054967,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-08 23:59:00+00:00,2019-11,2019-11-08 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,8,[],0.001
2019-11-09 23:59:00+00:00,0.0,0.0,,0.009036084126124999,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-09 23:59:00+00:00,2019-11,2019-11-09 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,9,[],0.001
2019-11-10 23:59:00+00:00,0.0,0.0,,0.010045120210250946,3.628434473600098e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4375029501535137.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-10 23:59:00+00:00,2019-11,2019-11-10 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,10,[],0.001
2019-11-11 23:59:00+00:00,0.0,0.0,,0.011055165330461136,3.6102467175966695e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4397070091917474.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-11 23:59:00+00:00,2019-11,2019-11-11 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,11,[],0.001
2019-11-12 23:59:00+00:00,0.0,0.0,,0.012066220495791535,3.595297391612143e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4415353206503277.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-12 23:59:00+00:00,2019-11,2019-11-12 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,12,[],0.001
2019-11-13 23:59:00+00:00,0.0,0.0,,0.013078286716287302,7.165583942981724e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2215382304178533.2,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-13 23:59:00+00:00,2019-11,2019-11-13 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,13,[],0.001
2019-11-14 23:59:00+00:00,0.0,0.0,,0.014091365003003453,7.144352536483005e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2221965921379657.2,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-14 23:59:00+00:00,2019-11,2019-11-14 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,14,[],0.001
2019-11-15 23:59:00+00:00,0.0,0.0,,0.01510545636800642,7.126103841197012e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2227655984272188.0,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-15 23:59:00+00:00,2019-11,2019-11-15 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,15,[],0.001
2019-11-16 23:59:00+00:00,0.0,0.0,,0.01612056182437427,7.110250420355455e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2232622893413359.2,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-16 23:59:00+00:00,2019-11,2019-11-16 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,16,[],0.001
2019-11-17 23:59:00+00:00,0.0,0.0,,0.017136682386198476,7.09634962422419e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2236996301901209.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-17 23:59:00+00:00,2019-11,2019-11-17 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,17,[],0.001
2019-11-18 23:59:00+00:00,0.0,0.0,,0.018153819068584598,7.084061563707576e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2240876610631730.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-18 23:59:00+00:00,2019-11,2019-11-18 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,18,[],0.001
2019-11-19 23:59:00+00:00,0.0,0.0,,0.019171972887653155,7.073120921559066e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2244342779154477.2,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-19 23:59:00+00:00,2019-11,2019-11-19 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,19,[],0.001
2019-11-20 23:59:00+00:00,0.0,0.0,,0.020191144860540744,7.063317561447098e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2247457760222132.8,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-20 23:59:00+00:00,2019-11,2019-11-20 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,20,[],0.001
2019-11-21 23:59:00+00:00,0.0,0.0,,0.02121133600540115,7.054482889369878e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-2250272360899510.0,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-21 23:59:00+00:00,2019-11,2019-11-21 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,21,[],0.001
2019-11-22 23:59:00+00:00,0.0,0.0,,0.02223254734140645,1.0569720105194376e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1501885358211727.5,0.0,8641.676499998503,0.0,0,0.0,0.0,0.0,[],2019-11-22 23:59:00+00:00,2019-11,2019-11-22 00:00:00+00:00,0.0,1000.0,[],7268.2300000000005,0.0,0.0,,0,7862.957999999996,0,0,,,1000.0,0.0,0.0,22,[],0.001
2019-11-23 23:59:00+00:00,0.0,0.0,,0.02325477988874769,1.0558795326972572e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1503439301056999.2,0.0,8547.519499999002,0.0,0,0.0,0.0,0.0,[],2019-11-23 23:59:00+00:00,2019-11,2019-11-23 00:00:00+00:00,0.0,1000.0,[],7311.57,0.005962937331372182,0.0,,0,7687.837999999996,0,0,,,1000.0,0.0,0.0,23,[],0.001
2019-11-24 23:59:00+00:00,0.0,0.0,,0.024278034668636428,1.0548810648307293e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1504862339048132.0,0.0,8423.015999999003,0.0,0,0.0,0.0,0.0,[],2019-11-24 23:59:00+00:00,2019-11,2019-11-24 00:00:00+00:00,0.0,1000.0,[],6903.28,-0.05021167464430827,0.0,,0,7441.765999999999,0,0,,,1000.0,0.0,0.0,24,[],0.001
2019-11-25 23:59:00+00:00,0.0,0.0,,0.025302312703304963,1.0539649716793542e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1506170346543265.2,0.0,8313.061499999003,0.0,0,0.0,0.0,0.0,[],2019-11-25 23:59:00+00:00,2019-11,2019-11-25 00:00:00+00:00,0.0,1000.0,[],7109.57,-0.021829248661641248,0.0,,0,7244.077999999999,0,0,,,1000.0,0.0,0.0,25,[],0.001
2019-11-26 23:59:00+00:00,0.0,0.0,,0.02632761501600811,1.0531214621631346e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1507376730674633.5,0.0,8203.9159999995,0.0,0,0.0,0.0,0.0,[],2019-11-26 23:59:00+00:00,2019-11,2019-11-26 00:00:00+00:00,0.0,1000.0,[],7156.14,-0.015421911524539006,0.0,,0,7149.758000000002,0,0,,,1000.0,0.0,0.0,26,[],0.001
2019-11-27 23:59:00+00:00,0.0,0.0,,0.027353942631024086,1.0523422378891004e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1508492892790308.0,0.0,8118.5319999995,0.0,0,0.0,0.0,0.0,[],2019-11-27 23:59:00+00:00,2019-11,2019-11-27 00:00:00+00:00,0.0,1000.0,[],7508.52,0.03306031867456037,0.0,,0,7197.816000000002,0,0,,,1000.0,0.0,0.0,27,[],0.001
2019-11-28 23:59:00+00:00,0.0,0.0,,0.028381296573654957,1.0516202191160117e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1509528590058073.8,0.0,8050.8199999994995,0.0,0,0.0,0.0,0.0,[],2019-11-28 23:59:00+00:00,2019-11,2019-11-28 00:00:00+00:00,0.0,1000.0,[],7419.49,0.020811119075758375,0.0,,0,7219.4000000000015,0,0,,,1000.0,0.0,0.0,28,[],0.001
2019-11-29 23:59:00+00:00,0.0,0.0,,0.029409677870228412,1.0509493289557882e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1510492221557465.0,0.0,7997.333499999499,0.0,0,0.0,0.0,0.0,[],2019-11-29 23:59:00+00:00,2019-11,2019-11-29 00:00:00+00:00,0.0,1000.0,[],7739.68,0.0648644855762682,0.0,,0,7386.680000000002,0,0,,,1000.0,0.0,0.0,29,[],0.001
2019-11-30 23:59:00+00:00,0.0,0.0,,0.03043908754809843,1.050324321865745e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1511391056639424.5,0.0,7922.4545,0.0,0,0.0,0.0,0.0,[],2019-11-30 23:59:00+00:00,2019-11,2019-11-30 00:00:00+00:00,0.0,1000.0,[],7541.89,0.03765153276657451,0.0,,0,7473.143999999998,0,0,,,1000.0,0.0,0.0,30,[],0.001
2019-12-01 23:59:00+00:00,0.0,0.0,,0.031469526635646394,1.0497406461763998e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1512231418704157.0,0.0,7855.335500000003,0.0,0,0.0,0.0,0.0,[],2019-12-01 23:59:00+00:00,2019-12,2019-12-01 00:00:00+00:00,0.0,1000.0,[],7390.89,0.016876185811401104,0.0,,0,7520.094000000002,0,0,,,1000.0,0.0,0.0,31,[],0.001
2019-12-02 23:59:00+00:00,0.0,0.0,,0.03250099616228197,1.0491943330266344e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1513018834231977.2,0.0,7778.952500000002,0.0,0,0.0,0.0,0.0,[],2019-12-02 23:59:00+00:00,2019-12,2019-12-02 00:00:00+00:00,0.0,1000.0,[],7294.28,0.0035840913124652453,0.0,,0,7477.246000000002,0,0,,,1000.0,0.0,0.0,32,[],0.001
2019-12-03 23:59:00+00:00,0.0,0.0,,0.033533497158444225,1.0486819059713919e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1513758154498053.5,0.0,7704.732000000001,0.0,0,0.0,0.0,0.0,[],2019-12-03 23:59:00+00:00,2019-12,2019-12-03 00:00:00+00:00,0.0,1000.0,[],7292.71,0.0033680827381631514,0.0,,0,7451.890000000002,0,0,,,1000.0,0.0,0.0,33,[],0.001
2019-12-04 23:59:00+00:00,0.0,0.0,,0.034567030655602515,1.0482003069076596e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1514453655639504.2,0.0,7632.114000000003,0.0,0,0.0,0.0,0.0,[],2019-12-04 23:59:00+00:00,2019-12,2019-12-04 00:00:00+00:00,0.0,1000.0,[],7194.32,-0.010168913201701206,0.0,,0,7342.818000000002,0,0,,,1000.0,0.0,0.0,34,[],0.001
2019-12-05 23:59:00+00:00,0.0,0.0,,0.035601597686258035,1.0477468349820862e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1515109121437620.0,0.0,7577.977500000003,0.0,0,0.0,0.0,0.0,[],2019-12-05 23:59:00+00:00,2019-12,2019-12-05 00:00:00+00:00,0.0,1000.0,[],7389.0,0.016616150011763458,0.0,,0,7312.2400000000025,0,0,,,1000.0,0.0,0.0,35,[],0.001
2019-12-06 23:59:00+00:00,0.0,0.0,,0.036637199283944266,1.0473190959011934e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1515727912201191.8,0.0,7529.800000000001,0.0,0,0.0,0.0,0.0,[],2019-12-06 23:59:00+00:00,2019-12,2019-12-06 00:00:00+00:00,0.0,1000.0,[],7527.47,0.035667555924895025,0.0,,0,7339.556000000002,0,0,,,1000.0,0.0,0.0,36,[],0.001
2019-12-07 23:59:00+00:00,0.0,0.0,,0.037673836483228085,1.0469149596345926e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1516313022399476.8,0.0,7479.090500000001,0.0,0,0.0,0.0,0.0,[],2019-12-07 23:59:00+00:00,2019-12,2019-12-07 00:00:00+00:00,0.0,1000.0,[],7488.21,0.03026596571654991,0.0,,0,7378.342,0,0,,,1000.0,0.0,0.0,37,[],0.001
2019-12-08 23:59:00+00:00,0.0,0.0,,0.038711510319711095,1.0465325249333813e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1516867129131803.5,0.0,7445.237499999998,0.0,0,0.0,0.0,0.0,[],2019-12-08 23:59:00+00:00,2019-12,2019-12-08 00:00:00+00:00,0.0,1000.0,[],7510.110000000001,0.033279078950445996,0.0,,0,7421.822,0,0,,,1000.0,0.0,0.0,38,[],0.001
2019-12-09 23:59:00+00:00,0.0,0.0,,0.03975022183003074,1.0461700894160415e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1517392633089758.8,0.0,7405.487499999998,0.0,0,0.0,0.0,0.0,[],2019-12-09 23:59:00+00:00,2019-12,2019-12-09 00:00:00+00:00,0.0,1000.0,[],7338.64,0.009687365424594413,0.0,,0,7450.686,0,0,,,1000.0,0.0,0.0,39,[],0.001
2019-12-10 23:59:00+00:00,0.0,0.0,,0.040789972051860746,1.0458261242285703e-17,,0.0,1000.0,1000.0,0.0,0.0,-0.001,0.0,-1517891693334494.0,0.0,7361.7935,0.0,0,0.0,0.0,0.0,"[{'id': 'c86727f998c64b9bbf44ce6e63385445', 'dt': Timestamp('2019-12-10 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2019-12-10 23:59:00+0000', tz='UTC'), 'amount': 0.138424972972524, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'status': 0}]",2019-12-10 23:59:00+00:00,2019-12,2019-12-10 00:00:00+00:00,0.0,1000.0,[],7224.13,-0.006067501991544071,0.0,,0,7417.7119999999995,0,0,buy,,1000.0,0.0,0.0,40,[],0.001
2019-12-11 23:59:00+00:00,0.004951139270615856,-0.0019970861543187057,,0.04183076202391245,1.0454992524830559e-17,,-1000.0411412862169,-0.04114128621688451,-0.04114128621688451,998.0440551318982,998.0440551318982,-0.0029970861543187058,1.0000412236133243,-3.362407115209927,998.0440551318982,7340.9065,998.0440551318982,1,-0.001997086154318737,1.0000412236133243,1.0000412236133243,"[{'id': 'c86727f998c64b9bbf44ce6e63385445', 'dt': Timestamp('2019-12-11 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2019-12-10 23:59:00+0000', tz='UTC'), 'amount': 0.138424972972524, 'filled': 0.138424972972524, 'commission': 0.9990420991870299, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'status': 1}]",2019-12-11 23:59:00+00:00,2019-12,2019-12-11 00:00:00+00:00,-1.9970861543187084,998.0029138456813,"[{'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'amount': 0.138424972972524, 'cost_basis': 7224.427209999999, 'last_sale_price': 7210.0}]",7210.0,-0.008011579160263292,-0.0019970861543187083,-2.4791816116240124,0,7354.217999999999,0,0,,-2.479181611624012,1000.0,0.0,0.0,41,"[{'amount': 0.138424972972524, 'dt': Timestamp('2019-12-11 23:59:00+0000', tz='UTC'), 'price': 7217.209999999999, 'order_id': 'c86727f998c64b9bbf44ce6e63385445', 'commission': 0.9990420991870299, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00}]",0.001
2019-12-12 23:59:00+00:00,0.00627412770222601,-0.003647111832151273,,0.04287259278593614,1.0451882308333109e-17,,0.0,-0.04114128621688451,-0.04114128621688451,996.3940294540656,996.3940294540656,-0.004647111832151273,1.0000412918823296,-2.750061102386759,996.3940294540656,7337.399,996.3940294540656,1,-0.003647111832151211,1.0000412918823296,1.0000412918823296,[],2019-12-12 23:59:00+00:00,2019-12,2019-12-12 00:00:00+00:00,-1.6500256778325593,996.3528881678487,"[{'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'amount': 0.138424972972524, 'cost_basis': 7224.427209999999, 'last_sale_price': 7198.08}]",7198.08,-0.00965159330400944,-0.0016533275153219628,-3.490920659787209,0,7296.192,0,0,,-3.4488432886034732,-0.04114128621688451,998.0440551318982,998.0440551318982,42,[],0.001
2019-12-13 23:59:00+00:00,0.02144051235299235,0.004713756535389413,,0.04391546537872193,1.0448919336676594e-17,,0.0,-0.04114128621688451,-0.04114128621688451,1004.7548978216062,1004.7548978216062,0.003713756535389413,1.0000409482660602,-0.6587636032992349,1004.7548978216062,7334.744500000001,1004.7548978216062,1,-0.003647111832151211,1.0000412918823296,1.0000409482660602,"[{'id': 'a4c61ce92eef488e84bf67ba02b07abb', 'dt': Timestamp('2019-12-13 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2019-12-13 23:59:00+0000', tz='UTC'), 'amount': -0.138424972972524, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'status': 0}]",2019-12-13 23:59:00+00:00,2019-12,2019-12-13 00:00:00+00:00,8.360868367540547,1004.7137565353893,"[{'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'amount': 0.138424972972524, 'cost_basis': 7224.427209999999, 'last_sale_price': 7258.4800000000005}]",7258.4800000000005,-0.0013414545219400046,0.008391473008037338,1.2959024676947613,0,7245.866,0,0,sell,4.426874267165602,-0.04114128621688451,996.3940294540656,996.3940294540656,43,[],0.001
2019-12-14 23:59:00+00:00,0.07220658521405666,-0.02415491497938127,,0.04495938084410045,1.0446093394951708e-17,,975.8862263068355,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.33972671034248625,0.0,7342.7829999999985,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,"[{'id': 'a4c61ce92eef488e84bf67ba02b07abb', 'dt': Timestamp('2019-12-14 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2019-12-13 23:59:00+0000', tz='UTC'), 'amount': -0.138424972972524, 'filled': -0.138424972972524, 'commission': 0.9768630893962318, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00, 'status': 1}]",2019-12-14 23:59:00+00:00,2019-12,2019-12-14 00:00:00+00:00,-28.868671514770654,975.8450850206186,[],7064.05,-0.028092121465611335,-0.028733230063774692,-1.9030079411202894,0,7190.948000000001,0,0,,-1.990206853528225,-0.04114128621688451,1004.7548978216062,1004.7548978216062,44,"[{'amount': -0.138424972972524, 'dt': Timestamp('2019-12-14 23:59:00+0000', tz='UTC'), 'price': 7056.98595, 'order_id': 'a4c61ce92eef488e84bf67ba02b07abb', 'commission': 0.9768630893962318, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair btc_usdt(374465) Exchange: binance, Introduced On: 2017-08-18 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 1e-06 Last daily ingestion: 2020-03-09 00:00:00+00:00 Last minutely ingestion: 2020-03-10 00:00:00+00:00}]",0.001
2019-12-15 23:59:00+00:00,0.0713930019560069,-0.02415491497938127,,0.04600434022494437,1.0443395191782599e-17,,0.0,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.34090386293480457,0.0,7343.2339999999995,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,[],2019-12-15 23:59:00+00:00,2019-12,2019-12-15 00:00:00+00:00,0.0,975.8450850206186,[],7118.59,-0.020588231247497715,0.0,-1.881923331153782,0,7169.840000000001,0,0,,-1.967969207485792,975.8450850206186,0.0,0.0,45,[],0.001
2019-12-16 23:59:00+00:00,0.07060631826326001,-0.02415491497938127,,0.0470503445651691,1.0440816257259566e-17,,0.0,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.3420962673570613,0.0,7330.012999999999,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,[],2019-12-16 23:59:00+00:00,2019-12,2019-12-16 00:00:00+00:00,0.0,975.8450850206186,[],6891.72,-0.05180215815955194,0.0,-1.8615241991616343,0,7106.184000000001,0,0,,-1.9464607014904705,975.8450850206186,0.0,0.0,46,[],0.001
2019-12-17 23:59:00+00:00,0.06984508355924086,-0.02415491497938127,,0.04809739490973408,1.0438348854115753e-17,,0.0,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.3433025481606618,0.0,7285.778,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,[],2019-12-17 23:59:00+00:00,2019-12,2019-12-17 00:00:00+00:00,0.0,975.8450850206186,[],6623.82,-0.08866120087008814,0.0,-1.8417741989860006,0,6991.332,0,0,,-1.925642341421575,975.8450850206186,0.0,0.0,47,[],0.001
2019-12-18 23:59:00+00:00,0.06910795448479666,-0.02415491497938127,,0.04914549230464371,1.043598590018528e-17,,0.0,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.34452144746405033,0.0,7278.6950000000015,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,[],2019-12-18 23:59:00+00:00,2019-12,2019-12-18 00:00:00+00:00,0.0,975.8450850206186,[],7277.83,0.0013208167600639294,0.0,-1.8226396258906032,0,6995.202,0,0,,-1.9054779916103706,975.8450850206186,0.0,0.0,48,[],0.001
2019-12-19 23:59:00+00:00,0.06839368491831245,-0.02415491497938127,,0.050194637796948216,1.0433720900505823e-17,,0.0,975.8450850206186,975.8450850206186,0.0,0.0,-0.02515491497938127,0.0,-0.34575181330140914,0.0,7249.226000000001,0.0,0,-0.02873323006377466,1.0000412918823296,0.0,[],2019-12-19 23:59:00+00:00,2019-12,2019-12-19 00:00:00+00:00,0.0,975.8450850206186,[],7150.3,-0.016225408386911295,0.0,-1.8040891748270338,0,7012.452000000003,0,0,,-1.8859341109562655,975.8450850206186,0.0,0.0,49,[],0.001
